Hours,Score
3,36
4,42
6,67
0,6
2,14
4,39
4,32
10,100
6,59
2,23
2,22
2,30
3,28
7,71
4,49
2,24
4,31
5,54
1,1
2,24
2,22
10,91
2,28
0,0
6,65
7,76
10,100
7,71
10,100
5,59
3,21
0,0
5,46
1,16
4,41
3,21
7,65
10,100
10,97
8,83
1,19
4,43
3,21
9,90
5,43
6,52
8,89
9,96
2,27
9,96
8,85
1,0
5,45
5,47
10,94
0,0
8,89
4,43
6,68
8,86
7,65
7,61
0,0
2,17
7,69
6,50
2,28
0,0
5,55
6,63
7,71
7,68
6,56
1,9
10,100
0,0
9,90
1,3
8,84
3,24
10,100
0,0
3,37
0,0
8,86
7,66
9,97
0,0
3,33
4,42
2,28
2,23
6,56
4,42
9,83
1,20
5,59
6,63
7,77
1,10
4,36
3,23
7,71
6,67
7,63
2,10
9,96
4,35
3,35
5,57
9,84
10,98
4,47
1,15
3,24
2,14
10,91
1,7
2,16
10,100
7,60
4,46
2,10
7,79
7,75
8,76
5,42
3,25
2,22
1,13
1,17
2,15
5,51
2,19
6,60
4,31
4,48
3,25
1,7
0,0
1,10
10,99
2,26
0,0
8,82
5,41
7,61
4,39
8,89
9,84
5,50
4,49
3,26
8,82
5,60
0,0
4,40
4,42
8,82
7,78
2,18
6,51
6,68
9,98
1,6
4,42
0,8
10,96
3,21
9,99
8,76
9,88
6,55
8,78
6,56
7,69
7,74
3,29
7,78
4,34
10,99
8,75
0,2
7,75
6,68
0,4
10,100
3,28
0,0
9,98
10,96
8,78
6,56
10,97
1,12
2,24
5,56
8,73
3,31
1,8
4,41
2,12
10,100
2,15
9,85
8,79
3,26
7,72
1,12
4,46
0,3
4,34
1,6
5,60
9,91
8,86
10,100
3,33
0,0
7,68
2,17
9,93
6,67
9,95
5,53
4,37
2,20
7,74
7,78
0,0
10,100
7,75
5,41
1,2
3,22
2,22
4,40
2,26
6,67
8,85
8,90
10,93
9,80
4,38
8,89
3,27
7,67
10,100
1,20
0,0
8,78
8,73
9,100
1,5
0,2
2,28
7,80
0,0
0,0
1,7
5,40
9,88
6,67
2,16
1,19
8,75
4,33
10,100
9,89
2,26
5,40
10,94
1,19
1,12
0,5
10,100
1,12
9,95
2,13
2,16
8,71
6,67
9,84
2,23
10,96
7,63
7,71
6,53
10,100
10,94
4,48
1,9
5,43
0,0
6,69
5,44
1,15
1,12
7,66
3,34
8,79
6,69
10,93
0,7
1,1
9,92
5,49
5,60
4,33
5,59
9,91
7,78
5,57
6,58
6,61
10,100
0,0
1,9
5,55
5,51
6,67
6,63
7,78
10,100
6,56
8,87
8,77
7,80
0,0
10,97
10,100
6,56
0,0
9,92
6,57
7,67
6,69
4,32
7,69
4,34
2,18
0,3
6,64
0,3
0,0
8,86
4,47
10,100
10,100
6,60
1,3
10,97
9,86
0,0
0,9
1,2
10,91
10,96
6,61
3,37
5,60
2,25
7,61
5,46
3,23
6,65
0,9
5,42
3,22
10,100
6,62
8,88
4,46
0,5
1,20
4,32
2,22
1,0
3,20
2,25
0,2
2,29
8,77
4,45
9,97
0,0
10,100
2,27
1,3
6,53
1,3
1,15
2,26
2,30
10,100
6,51
6,64
2,18
1,14
9,83
5,45
1,3
1,0
7,79
10,100
4,32
6,51
3,20
0,0
1,6
10,91
2,28
4,37
6,57
10,98
6,69
10,92
3,34
6,52
8,74
5,48
6,53
9,91
4,42
2,10
5,40
3,31
5,44
7,66
1,0
9,83
5,48
5,53
2,11
8,85
9,81
